Orig Sort,industry_id_new,industry,industry_en,id_field,field_sort_key,field_name_de,field_name_en,sub_topic_sort,sub_topic_name_de,sub_topic_name_en,criteria_name_de,criteria_name_en,criteria_type_de,criteria_type_en,version,exclude_ghg,import_handler_ghg_exclusion,Ind_Cr_Id,,,industry_en,criteria_name_en
1,1,Landwirtschaft und Fischerei,agriculture_fishery,1_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,1,1_1,,,agriculture_fishery,Sustainable agricultural products
2,1,Landwirtschaft und Fischerei,agriculture_fishery,1_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,2,1_2,,,agriculture_fishery,Plant-based nutrition
3,1,Landwirtschaft und Fischerei,agriculture_fishery,1_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Tierwohl,Animal Welfare,Maßnahmen/Lösungen,Action/Solution,5,,3,1_3,,,agriculture_fishery,Animal Welfare
4,1,Landwirtschaft und Fischerei,agriculture_fishery,1_1,1,Natur,Nature,7,Schadstoffe,Pollution,Schadstoffe Boden,Pollution to Soil,Maßnahmen/Lösungen,Action/Solution,5,,4,1_4,,,agriculture_fishery,Pollution to Soil
5,1,Landwirtschaft und Fischerei,agriculture_fishery,1_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Erneuerbare Energien,Renewable energies,Maßnahmen/Lösungen,Action/Solution,5,,5,1_5,,,agriculture_fishery,Renewable energies
6,1,Landwirtschaft und Fischerei,agriculture_fishery,1_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,1_6,,,agriculture_fishery,Carbon Footprint
7,1,Landwirtschaft und Fischerei,agriculture_fishery,1_3,3,Wertschöpfungskette,Value Chain,9,Mitarbeitende,Employees,Arbeitsbedingungen,Working conditions,Maßnahmen/Lösungen,Action/Solution,5,,7,1_7,,,agriculture_fishery,Working conditions
9,2,Forstwirtschaft,forestry_management,2_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Forstwirtschaft,Sustainable forestry,Maßnahmen/Lösungen,Action/Solution,5,,1,2_1,,,forestry_management,Sustainable forestry
10,2,Forstwirtschaft,forestry_management,2_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Ökosysteme,Ecosystems,Maßnahmen/Lösungen,Action/Solution,5,,2,2_2,,,forestry_management,Ecosystems
11,2,Forstwirtschaft,forestry_management,2_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,3,2_3,,,forestry_management,Sustainable agricultural products
12,2,Forstwirtschaft,forestry_management,2_1,1,Natur,Nature,7,Schadstoffe,Pollution,Schadstoffe Boden,Pollution to Soil,Maßnahmen/Lösungen,Action/Solution,5,,4,2_4,,,forestry_management,Pollution to Soil
