name,url,industry,shouldUpdate,Prompt
1&1 Telecommunication,https://imagepool.1und1.ag/v2/download/nachhaltigkeitsbericht/1und1-AG_NB_2022_DE.pdf,telecommunication,FALSE,
ADM,https://www.adm.com/globalassets/sustainability/sustainability-reports/2022-reports/adm-2022-corporate-sustainability-report_final.pdf,food_processing,FALSE,
AHT,https://www.aht.at/wp-content/uploads/2022/10/AHT_ESG_Report_2022_Final_DE.pdf,ventilation,FALSE,
AQUApark Oberhausen,https://www.aquapark-oberhausen.com/nachhaltigkeit,leisure_industry,FALSE,
ARB,https://arche-reinigung.de/unternehmen/Nachhaltigkeit,commercial,FALSE,
BOK 24,https://boc24.de/pages/wir-sind-auf-dem-weg,sporting,FALSE,
BUWOG,https://www.buwog.at/nachhaltigkeit,real_estate,FALSE,
Bauer Gear Motor,https://www.bauergears.com/de-DE/energy-efficiency/energy-efficiency-resources,engines,FALSE,
Balu Bowls,https://balubowls.com/ueber-uns,jewelry,FALSE,
Biokorntakt,https://www.biokorntakt.de/unternehmen,food_wholesale,FALSE,
GOLDBECK,https://cms.goldbeck.de/fileadmin/goldbeck.de/00_newsroom/prospekte/goldbeck_sustainability-report_2022.pdf,construction,FALSE,
